Date,Share Price,NAV,Discount
04/06/2022,$42.05 ,$44.15 ,-4.76%
04/05/2022,$43.09 ,$45.09 ,-4.44%
04/04/2022,$44.15 ,$45.87 ,-3.75%
04/01/2022,$43.76 ,$45.08 ,-2.93%
3/31/2022 ,$43.27 ,$45.03 ,-3.91%
3/30/2022 ,$43.40 ,$45.51 ,-4.64%
3/29/2022 ,$44.13 ,$46.42 ,-4.93%
3/28/2022 ,$43.92 ,$45.43 ,-3.32%
3/25/2022 ,$43.99 ,$44.94 ,-2.11%
3/24/2022 ,$44.20 ,$45.05 ,-1.89%
3/23/2022 ,$43.55 ,$44.43 ,-1.98%
3/22/2022 ,$44.00 ,$44.63 ,-1.41%
3/21/2022 ,$43.29 ,$44.12 ,-1.88%
3/18/2022 ,$43.61 ,$44.27 ,-1.49%
3/17/2022 ,$42.69 ,$43.26 ,-1.32%
3/16/2022 ,$41.83 ,$42.46 ,-1.48%
3/15/2022 ,$40.46 ,$40.86 ,-0.98%
3/14/2022 ,$39.84 ,$40.08 ,-0.60%
03/11/2022,$40.94 ,$41.21 ,-0.66%
03/10/2022,$41.58 ,$42.17 ,-1.40%
03/09/2022,$41.97 ,$42.58 ,-1.43%
03/08/2022,$40.53 ,$41.09 ,-1.36%
03/07/2022,$40.78 ,$41.22 ,-1.07%
03/04/2022,$42.03 ,$42.78 ,-1.75%
03/03/2022,$42.64 ,$43.84 ,-2.74%
03/02/2022,$43.39 ,$44.80 ,-3.15%
03/01/2022,$43.00 ,$44.38 ,-3.11%
2/28/2022 ,$43.45 ,$45.04 ,-3.53%
2/25/2022 ,$42.99 ,$44.88 ,-4.21%
2/24/2022 ,$41.79 ,$43.36 ,-3.62%
2/23/2022 ,$40.14 ,$42.32 ,-5.15%
2/22/2022 ,$41.28 ,$43.32 ,-4.71%
2/18/2022 ,$42.12 ,$44.01 ,-4.29%
2/17/2022 ,$43.04 ,$44.85 ,-4.04%
2/16/2022 ,$44.33 ,$46.36 ,-4.38%
2/15/2022 ,$43.99 ,$46.45 ,-5.30%
2/14/2022 ,$43.79 ,$45.39 ,-3.53%
02/11/2022,$44.32 ,$45.71 ,-3.04%
02/10/2022,$45.86 ,$46.84 ,-2.09%
02/09/2022,$46.91 ,$47.37 ,-0.97%
02/08/2022,$45.94 ,$46.38 ,-0.95%
02/07/2022,$45.04 ,$45.95 ,-1.98%
02/04/2022,$45.20 ,$46.05 ,-1.85%
02/03/2022,$44.62 ,$45.08 ,-1.02%
02/02/2022,$46.67 ,$46.78 ,-0.24%
02/01/2022,$46.36 ,$47.07 ,-1.51%
1/31/2022 ,$45.80 ,$46.67 ,-1.86%
1/28/2022 ,$43.51 ,$45.08 ,-3.48%
1/27/2022 ,$41.65 ,$44.02 ,-5.38%
1/26/2022 ,$42.14 ,$44.63 ,-5.58%
1/25/2022 ,$41.80 ,$44.20 ,-5.43%
1/24/2022 ,$42.36 ,$45.42 ,-6.74%
1/21/2022 ,$42.36 ,$45.07 ,-6.01%
1/20/2022 ,$44.62 ,$46.21 ,-3.44%
1/19/2022 ,$45.07 ,$46.66 ,-3.41%
1/18/2022 ,$45.61 ,$47.24 ,-3.45%
1/14/2022 ,$47.66 ,$48.25 ,-1.22%
1/13/2022 ,$47.72 ,$48.27 ,-1.14%
01/12/2022,$49.66 ,$49.92 ,-0.52%
01/11/2022,$49.74 ,$49.75 ,-0.02%
01/10/2022,$48.65 ,$49.09 ,-0.90%
01/07/2022,$48.45 ,$49.21 ,-1.54%
01/06/2022,$48.68 ,$49.61 ,-1.87%
01/05/2022,$48.79 ,$49.92 ,-2.26%
01/04/2022,$50.26 ,$51.73 ,-2.84%
01/03/2022,$50.99 ,$52.59 ,-3.04%
12/31/2021 ,$49.97 ,$52.40 ,-4.64%
12/30/2021 ,$49.64 ,$52.67 ,-5.75%
12/29/2021 ,$49.69 ,$52.59 ,-5.51%
12/28/2021 ,$49.19 ,$52.72 ,-6.70%
12/27/2021 ,$49.72 ,$53.04 ,-6.26%
12/23/2021 ,$49.30 ,$52.59 ,-6.26%
12/22/2021 ,$48.47 ,$52.21 ,-7.16%
12/21/2021 ,$47.77 ,$51.61 ,-7.44%
12/20/2021 ,$47.30 ,$50.49 ,-6.32%
12/17/2021 ,$48.11 ,$51.02 ,-5.70%
12/16/2021 ,$47.99 ,$51.06 ,-6.01%
12/15/2021 ,$50.44 ,$53.91 ,-6.44%
12/14/2021 ,$49.43 ,$53.14 ,-6.98%
12/13/2021 ,$50.33 ,$53.90 ,-6.62%
12/10/2021,$51.01 ,$54.62 ,-6.61%
12/09/2021,$51.05 ,$54.66 ,-6.60%
12/08/2021,$51.65 ,$55.67 ,-7.22%
12/07/2021,$51.31 ,$55.06 ,-6.81%
12/06/2021,$49.84 ,$53.61 ,-7.03%
12/03/2021,$49.48 ,$53.48 ,-7.48%
12/02/2021,$50.88 ,$54.42 ,-6.50%
12/01/2021,$50.99 ,$54.20 ,-5.92%
11/30/2021 ,$52.24 ,$55.37 ,-5.65%
11/29/2021 ,$52.81 ,$56.22 ,-6.07%
11/26/2021 ,$51.85 ,$55.49 ,-6.56%
11/24/2021 ,$52.49 ,$56.32 ,-6.80%
11/23/2021 ,$52.87 ,$55.69 ,-5.06%
11/22/2021 ,$53.55 ,$56.53 ,-5.27%
11/19/2021 ,$54.35 ,$57.91 ,-6.15%
11/18/2021 ,$54.88 ,$58.04 ,-5.44%
11/17/2021 ,$55.12 ,$58.30 ,-5.45%
11/16/2021 ,$55.57 ,$58.68 ,-5.30%
11/15/2021 ,$55.20 ,$58.32 ,-5.35%
11/12/2021,$55.23 ,$58.27 ,-5.22%
11/11/2021,$54.72 ,$57.80 ,-5.33%
11/10/2021,$54.46 ,$57.48 ,-5.25%
11/09/2021,$55.78 ,$58.40 ,-4.49%
11/08/2021,$55.87 ,$58.61 ,-4.67%
11/05/2021,$55.55 ,$58.19 ,-4.54%
11/04/2021,$55.44 ,$58.23 ,-4.79%
11/03/2021,$55.08 ,$57.78 ,-4.67%
11/02/2021,$54.88 ,$57.57 ,-4.67%
11/01/2021,$54.82 ,$57.58 ,-4.79%
10/28/2021 ,$54.50 ,$57.09 ,-4.54%
10/27/2021 ,$54.10 ,$56.73 ,-4.64%
10/26/2021 ,$54.37 ,$57.04 ,-4.68%
10/25/2021 ,$54.17 ,$57.03 ,-5.01%
10/22/2021 ,$53.77 ,$56.60 ,-5.00%
10/21/2021 ,$54.25 ,$57.09 ,-4.97%
10/20/2021 ,$54.21 ,$56.84 ,-4.63%
10/19/2021 ,$54.21 ,$57.02 ,-4.93%
10/18/2021 ,$53.71 ,$56.48 ,-4.90%
10/15/2021 ,$53.35 ,$56.07 ,-4.85%
10/14/2021 ,$53.04 ,$55.82 ,-4.98%
10/13/2021 ,$52.40 ,$55.08 ,-4.87%
10/12/2021,$51.87 ,$54.47 ,-4.77%
10/11/2021,$51.96 ,$54.33 ,-4.36%
10/08/2021,$52.22 ,$54.67 ,-4.48%
10/07/2021,$52.47 ,$54.94 ,-4.50%
10/06/2021,$51.88 ,$54.29 ,-4.44%
10/05/2021,$51.69 ,$53.96 ,-4.21%
10/04/2021,$50.95 ,$53.48 ,-4.73%
10/01/2021,$52.51 ,$54.87 ,-4.30%
9/30/2021 ,$52.16 ,$54.56 ,-4.40%
9/29/2021 ,$51.91 ,$54.49 ,-4.73%
9/28/2021 ,$52.01 ,$54.77 ,-5.04%
9/27/2021 ,$53.60 ,$56.41 ,-4.98%
9/24/2021 ,$54.04 ,$56.89 ,-5.01%
9/23/2021 ,$54.03 ,$56.96 ,-5.14%
9/22/2021 ,$53.43 ,$56.32 ,-5.13%
9/21/2021 ,$52.83 ,$55.83 ,-5.37%
9/20/2021 ,$52.48 ,$55.56 ,-5.54%
9/17/2021 ,$53.82 ,$56.58 ,-4.88%
9/16/2021 ,$54.24 ,$56.85 ,-4.59%
9/15/2021 ,$54.17 ,$56.64 ,-4.36%
9/14/2021 ,$53.86 ,$56.39 ,-4.49%
9/13/2021 ,$54.25 ,$56.54 ,-4.05%
09/10/2021,$54.45 ,$56.67 ,-3.92%
09/09/2021,$54.77 ,$56.92 ,-3.78%
09/08/2021,$54.84 ,$56.97 ,-3.74%
09/07/2021,$55.35 ,$57.52 ,-3.77%
09/03/2021,$55.30 ,$57.65 ,-4.08%
09/02/2021,$55.14 ,$57.29 ,-3.75%
09/01/2021,$55.11 ,$57.15 ,-3.57%
8/31/2021 ,$54.87 ,$56.89 ,-3.55%
