Date,Share Price,NAV,Discount
12/22/2022 ,$23.23 ,$22.46 ,3.43%
12/21/2022 ,$23.86 ,$23.08 ,3.38%
12/20/2022 ,$23.92 ,$22.78 ,5.00%
12/19/2022 ,$24.15 ,$22.80 ,5.92%
12/16/2022 ,$24.72 ,$23.17 ,6.69%
12/15/2022 ,$25.28 ,$23.31 ,8.45%
12/14/2022 ,$25.75 ,$24.30 ,5.97%
12/13/2022 ,$25.51 ,$24.44 ,4.38%
12/12/2022,$25.45 ,$24.13 ,5.47%
12/09/2022,$25.30 ,$23.65 ,6.98%
12/08/2022,$26.75 ,$24.86 ,7.60%
12/07/2022,$26.22 ,$24.48 ,7.11%
12/06/2022,$26.12 ,$24.58 ,6.27%
12/05/2022,$26.69 ,$25.03 ,6.63%
12/02/2022,$26.76 ,$25.46 ,5.11%
12/01/2022,$26.83 ,$25.63 ,4.68%
11/30/2022 ,$26.58 ,$25.61 ,3.79%
11/29/2022 ,$26.06 ,$24.67 ,5.63%
11/28/2022 ,$26.50 ,$24.77 ,6.98%
11/25/2022 ,$27.00 ,$25.22 ,7.06%
11/23/2022 ,$27.12 ,$25.36 ,6.51%
11/22/2022 ,$27.12 ,$25.12 ,7.96%
11/21/2022 ,$26.18 ,$24.67 ,6.12%
11/18/2022 ,$26.35 ,$24.93 ,5.70%
11/17/2022 ,$25.98 ,$24.84 ,4.59%
11/16/2022 ,$26.09 ,$24.82 ,5.12%
11/15/2022 ,$26.82 ,$25.50 ,5.18%
11/14/2022 ,$26.86 ,$25.07 ,7.14%
11/11/2022,$27.69 ,$25.84 ,7.16%
11/10/2022,$27.00 ,$25.22 ,7.06%
11/09/2022,$25.22 ,$23.41 ,7.73%
11/08/2022,$25.74 ,$24.00 ,7.25%
11/07/2022,$24.99 ,$23.74 ,5.27%
11/04/2022,$24.35 ,$23.37 ,4.19%
11/03/2022,$24.25 ,$22.77 ,6.50%
11/02/2022,$24.58 ,$23.39 ,5.09%
11/01/2022,$24.78 ,$24.15 ,2.61%
10/31/2022 ,$25.14 ,$24.08 ,4.40%
10/28/2022 ,$25.26 ,$24.33 ,3.82%
10/27/2022 ,$24.73 ,$23.60 ,4.79%
10/26/2022 ,$25.27 ,$23.81 ,6.13%
10/25/2022 ,$24.96 ,$23.99 ,4.04%
10/24/2022 ,$24.51 ,$23.56 ,4.03%
10/21/2022 ,$24.76 ,$23.39 ,5.86%
10/20/2022 ,$23.74 ,$22.74 ,4.40%
10/19/2022 ,$23.80 ,$22.63 ,5.17%
10/18/2022 ,$24.23 ,$22.69 ,6.79%
10/17/2022 ,$23.87 ,$22.46 ,6.28%
10/13/2022 ,$23.96 ,$22.72 ,5.46%
10/12/2022,$22.98 ,$22.12 ,3.89%
10/11/2022,$23.34 ,$22.28 ,4.76%
10/10/2022,$23.40 ,$22.76 ,2.81%
10/07/2022,$23.53 ,$23.27 ,1.12%
10/06/2022,$24.25 ,$24.23 ,0.08%
10/05/2022,$24.47 ,$24.40 ,0.29%
10/04/2022,$24.60 ,$24.34 ,1.07%
10/03/2022,$23.84 ,$23.51 ,1.40%
9/30/2022 ,$23.19 ,$22.78 ,1.80%
9/29/2022 ,$23.75 ,$23.11 ,2.77%
9/28/2022 ,$24.55 ,$23.63 ,3.89%
9/27/2022 ,$24.33 ,$23.28 ,4.51%
9/26/2022 ,$24.16 ,$23.15 ,4.36%
9/23/2022 ,$24.53 ,$23.42 ,4.74%
9/22/2022 ,$25.51 ,$23.77 ,7.32%
9/21/2022 ,$25.74 ,$24.12 ,6.72%
9/20/2022 ,$26.27 ,$24.36 ,7.84%
9/19/2022 ,$26.50 ,$24.68 ,7.37%
9/16/2022 ,$26.69 ,$24.62 ,8.41%
9/15/2022 ,$26.70 ,$24.80 ,7.66%
9/14/2022 ,$26.77 ,$25.17 ,6.36%
9/13/2022 ,$27.07 ,$25.09 ,7.89%
09/12/2022,$28.27 ,$26.38 ,7.16%
09/09/2022,$28.50 ,$26.19 ,8.82%
09/08/2022,$28.25 ,$25.66 ,10.09%
09/07/2022,$28.04 ,$25.44 ,10.22%
09/06/2022,$28.00 ,$25.03 ,11.87%
09/02/2022,$28.28 ,$25.25 ,12.00%
09/01/2022,$28.42 ,$25.44 ,11.71%
8/31/2022 ,$28.92 ,$25.67 ,12.66%
8/30/2022 ,$28.85 ,$25.91 ,11.35%
8/29/2022 ,$29.31 ,$26.12 ,12.21%
8/26/2022 ,$29.48 ,$26.43 ,11.54%
8/25/2022 ,$30.10 ,$27.62 ,8.98%
8/24/2022 ,$29.78 ,$26.99 ,10.34%
8/23/2022 ,$29.57 ,$26.95 ,9.72%
8/22/2022 ,$29.21 ,$26.86 ,8.75%
8/19/2022 ,$29.66 ,$27.64 ,7.31%
8/18/2022 ,$30.17 ,$28.16 ,7.14%
8/17/2022 ,$29.98 ,$27.90 ,7.46%
8/16/2022 ,$30.60 ,$28.23 ,8.40%
8/15/2022 ,$31.10 ,$28.46 ,9.28%
08/12/2022,$30.71 ,$28.56 ,7.53%
08/11/2022,$30.92 ,$28.54 ,8.34%
08/10/2022,$30.70 ,$28.49 ,7.76%
08/09/2022,$30.04 ,$27.75 ,8.25%
08/08/2022,$30.43 ,$28.40 ,7.15%
08/05/2022,$30.84 ,$28.43 ,8.48%
