Date,Adj Close,Close,High,Low,Open,Volume,Share Turnover,Weighted ST
16/08/2024,1.25999999,1.25999999,1.409999967,1.200000048,1.230000019,20204400,0.08062732,0.00464745433846038
23/08/2024,1.720000029,1.720000029,1.960000038,1.25999999,1.25999999,114888300,0.458471208,0.14321750424656926
30/08/2024,1.590000033,1.590000033,1.710000038,1.539999962,1.700000048,17827900,0.071143701,0.004543544759043706
06/09/2024,1.289999962,1.289999962,1.620000005,1.289999962,1.600000024,10244500,0.04088152,0.0014693695578145967
13/09/2024,1.580000043,1.580000043,1.600000024,1.299999952,1.320000052,11251300,0.044899238,0.0010237896994350433
20/09/2024,1.580000043,1.580000043,1.659999967,1.544999957,1.590000033,12930600,0.051600623,0.0008197523516415822
27/09/2024,1.549999952,1.549999952,1.600000024,1.5,1.600000024,8139100,0.032479748,0.000749117265602671
04/10/2024,1.50999999,1.50999999,1.549999952,1.360000014,1.529999971,11220500,0.044776328,0.00164063816170912
11/10/2024,1.610000014,1.610000014,1.610000014,1.480000019,1.590000033,10647900,0.04249132,0.0011800598534247278
18/10/2024,1.75,1.75,1.940000057,1.659999967,1.679999948,43759800,0.17462708,0.025588187552434437
25/10/2024,1.590000033,1.590000033,1.764999986,1.559999943,1.74000001,15568500,0.062127379,0.004053735045031019
01/11/2024,1.580000043,1.580000043,1.799999952,1.559999943,1.610000014,18950100,0.075621932,0.006135280238969887
